127.0.0.1, 2015-05-06 15:55:43, GET, /welcome/default/index, HTTP/1.1, 200, 0.269970
127.0.0.1, 2015-05-06 15:55:43, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.000483
127.0.0.1, 2015-05-06 15:55:43, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.000442
127.0.0.1, 2015-05-06 15:55:43, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.000552
127.0.0.1, 2015-05-06 15:55:43, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.000250
127.0.0.1, 2015-05-06 15:55:43, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.000221
127.0.0.1, 2015-05-06 15:55:43, GET, /welcome/static/css/web2py.css, HTTP/1.1, 200, 0.000217
127.0.0.1, 2015-05-06 15:55:43, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000255
127.0.0.1, 2015-05-06 15:55:43, GET, /welcome/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000228
127.0.0.1, 2015-05-06 15:55:43, GET, /welcome/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.000246
127.0.0.1, 2015-05-06 15:55:43, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000224
127.0.0.1, 2015-05-06 15:55:43, GET, /welcome/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.000248
127.0.0.1, 2015-05-06 15:55:43, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.000246
127.0.0.1, 2015-05-06 15:55:44, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000595
127.0.0.1, 2015-05-06 15:55:44, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.000299
127.0.0.1, 2015-05-06 15:55:44, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.000245
127.0.0.1, 2015-05-06 15:55:44, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.000226
127.0.0.1, 2015-05-06 15:55:47, GET, /welcome/static/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.000267
127.0.0.1, 2015-05-06 15:56:22, GET, /admin/default/index, HTTP/1.1, 200, 0.124165
127.0.0.1, 2015-05-06 15:56:22, GET, /admin/static/_2.9.12/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.013731
127.0.0.1, 2015-05-06 15:56:22, GET, /admin/static/_2.9.12/js/jquery.js, HTTP/1.1, 200, 0.019864
127.0.0.1, 2015-05-06 15:56:22, GET, /admin/static/_2.9.12/js/calendar.js, HTTP/1.1, 200, 0.018038
127.0.0.1, 2015-05-06 15:56:22, GET, /admin/static/_2.9.12/css/calendar.css, HTTP/1.1, 200, 0.018974
127.0.0.1, 2015-05-06 15:56:22, GET, /admin/static/_2.9.12/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.015752
127.0.0.1, 2015-05-06 15:56:22, GET, /admin/static/_2.9.12/js/web2py.js, HTTP/1.1, 200, 0.017596
127.0.0.1, 2015-05-06 15:56:22, GET, /admin/static/_2.9.12/plugin_multiselect/start.js, HTTP/1.1, 200, 0.000410
127.0.0.1, 2015-05-06 15:56:22, GET, /admin/static/_2.9.12/css/bootstrap.min.css, HTTP/1.1, 200, 0.000357
127.0.0.1, 2015-05-06 15:56:22, GET, /admin/static/_2.9.12/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.000480
127.0.0.1, 2015-05-06 15:56:22, GET, /admin/static/_2.9.12/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.016059
127.0.0.1, 2015-05-06 15:56:22, GET, /admin/static/_2.9.12/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000942
